Main_Topic,Unit,Topic_Title,Sub_Topic
STATISTICS FOR AI & MACHINE LEARNING,Unit 2: Descriptive Statistics & Data Understanding,2.5 Outliers & Exploratory Data Analysis,"Tools: Pandas Profiling, Sweetviz, D-Tale for automated EDA"
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.1 Foundations of Probability,"Classical, frequentist, and subjective (Bayesian) definitions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.1 Foundations of Probability,Random experiments and deterministic vs. stochastic processes
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.1 Foundations of Probability,Sample space: discrete and continuous
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.1 Foundations of Probability,"Events: simple, compound, complementary"
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.2 Types of Events & Probability Laws,Independent and dependent events
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.2 Types of Events & Probability Laws,Mutually exclusive and collectively exhaustive events
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.2 Types of Events & Probability Laws,Addition rule (union of events)
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.2 Types of Events & Probability Laws,Multiplication rule (intersection of events)
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.2 Types of Events & Probability Laws,Law of Total Probability
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.3 Conditional Probability & Bayes’ Theorem,Conditional probability: P(A|B) definition and computation
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.3 Conditional Probability & Bayes’ Theorem,Bayes’ Theorem: derivation and intuition
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.3 Conditional Probability & Bayes’ Theorem,"Prior probability, likelihood, posterior probability, and evidence"
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.3 Conditional Probability & Bayes’ Theorem,"Applications in AI: spam filtering, medical diagnosis, Naive Bayes classifier"
STATISTICS FOR AI & MACHINE LEARNING,Unit 3: Probability Theory,3.3 Conditional Probability & Bayes’ Theorem,Bayesian updating and sequential inference
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,Discrete vs. continuous random variables
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,Probability Mass Function (PMF) for discrete variables
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,Probability Density Function (PDF) for continuous variables
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,Cumulative Distribution Function (CDF)
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,"Expected value, variance, and standard deviation of random variables"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.1 Random Variables & Functions,"Joint, marginal, and conditional distributions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Bernoulli Distribution: binary outcomes, parameter p"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Binomial Distribution: n independent Bernoulli trials, applications in classification"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Poisson Distribution: rare events, count data, rate parameter λ"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Normal (Gaussian) Distribution: central limit theorem connection, z-scores"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Exponential Distribution: waiting times, memoryless property"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Uniform Distribution: random initialization, random sampling"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,Beta Distribution: Bayesian priors for probabilities
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,"Gamma Distribution: sum of exponentials, Bayesian inference"
STATISTICS FOR AI & MACHINE LEARNING,Unit 4: Random Variables & Probability Distributions,4.2 Key Distributions for AI & ML,Multinomial Distribution: multi-class classification outcomes
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.1 Sampling Techniques,Simple Random Sampling: with and without replacement
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.1 Sampling Techniques,Stratified Sampling: proportional and optimal allocation
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.1 Sampling Techniques,Systematic Sampling: every k-th element
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.1 Sampling Techniques,Cluster Sampling and multi-stage sampling
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.1 Sampling Techniques,Importance sampling (used in reinforcement learning and Monte Carlo methods)
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.2 Sampling Distribution & Central Limit Theorem,Sampling distribution of the mean
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.2 Sampling Distribution & Central Limit Theorem,"Central Limit Theorem (CLT): statement, conditions, and implications"
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.2 Sampling Distribution & Central Limit Theorem,CLT and why many ML algorithms assume normality
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.2 Sampling Distribution & Central Limit Theorem,Standard Error: definition and relationship to sample size
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.2 Sampling Distribution & Central Limit Theorem,Law of Large Numbers: weak and strong forms
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,"Point estimation: unbiasedness, consistency, efficiency, sufficiency"
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,Maximum Likelihood Estimation (MLE): concept and derivation
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,Method of Moments
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,Interval estimation and confidence intervals
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,"Confidence level, margin of error, sample size determination"
STATISTICS FOR AI & MACHINE LEARNING,Unit 5: Sampling Theory & Estimation,5.3 Estimation Theory,Bootstrap methods for estimation
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,Statistical hypothesis: null (H0) and alternative (H1)
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,"Type I Error (α): false positive, significance level"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,"Type II Error (β): false negative, statistical power"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,"p-value: interpretation, common misconceptions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,Effect size: practical vs. statistical significance
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.1 Hypothesis Testing Framework,"Multiple testing correction: Bonferroni, FDR (Benjamini-Hochberg)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.2 Parametric Tests,Z-Test: large sample means comparison
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.2 Parametric Tests,"t-Test: one-sample, two-sample (independent), paired t-test"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.2 Parametric Tests,F-Test: variance comparison
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.2 Parametric Tests,"ANOVA: one-way, two-way, repeated measures"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.2 Parametric Tests,"Post-hoc tests: Tukey’s HSD, Scheffé’s method"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.3 Non-Parametric Tests,"Chi-Square Test: goodness of fit, test of independence"
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.3 Non-Parametric Tests,Sign Test: median comparison
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.3 Non-Parametric Tests,Wilcoxon Signed-Rank and Mann-Whitney U tests
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.3 Non-Parametric Tests,Kruskal-Wallis test: non-parametric ANOVA alternative
STATISTICS FOR AI & MACHINE LEARNING,Unit 6: Statistical Inference & Hypothesis Testing,6.3 Non-Parametric Tests,A/B testing in ML: statistical significance for model comparison
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,"Covariance: definition, properties, limitations"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,Karl Pearson’s Correlation Coefficient: linear relationship measure
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,Spearman’s Rank Correlation: monotonic relationships
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,Point-biserial and phi coefficient for categorical data
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,"Correlation vs. causation: Simpson’s paradox, confounding variables"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.1 Correlation Analysis,Correlation matrix and heatmap visualization
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,"Simple Linear Regression: OLS derivation, normal equation"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,"Multiple Linear Regression: matrix formulation, coefficient interpretation"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,"Assumptions: linearity, independence, homoscedasticity, normality of residuals"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,Least Squares Method: geometric and algebraic interpretation
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,"R-squared, Adjusted R-squared, F-statistic"
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,Residual analysis and diagnostic plots
STATISTICS FOR AI & MACHINE LEARNING,Unit 7: Correlation & Regression Analysis,7.2 Regression Analysis,"Multicollinearity: VIF, condition number, remedies"
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.1 Loss & Cost Functions,Mean Squared Error (MSE) and its statistical properties
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.1 Loss & Cost Functions,Cross-entropy loss: connection to MLE and KL divergence
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.1 Loss & Cost Functions,Hinge loss for SVM
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.1 Loss & Cost Functions,Huber loss: robust to outliers
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.1 Loss & Cost Functions,Custom loss functions for domain-specific problems
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.2 Maximum Likelihood & MAP Estimation,"MLE: likelihood function, log-likelihood, optimization"
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.2 Maximum Likelihood & MAP Estimation,"MLE for Gaussian, Bernoulli, and Poisson distributions"
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.2 Maximum Likelihood & MAP Estimation,Maximum A Posteriori (MAP): incorporating prior knowledge
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.2 Maximum Likelihood & MAP Estimation,"Connection between MAP, MLE, and regularization (L2 = Gaussian prior)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.2 Maximum Likelihood & MAP Estimation,Expectation-Maximization (EM) algorithm overview
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.3 Gradient Descent (Statistical Intuition),Gradient as direction of steepest ascent
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.3 Gradient Descent (Statistical Intuition),"Batch, stochastic, and mini-batch gradient descent"
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.3 Gradient Descent (Statistical Intuition),Learning rate and convergence analysis
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.3 Gradient Descent (Statistical Intuition),Convexity and guaranteed convergence for convex loss functions
STATISTICS FOR AI & MACHINE LEARNING,Unit 8: Optimization & Statistical Learning,8.3 Gradient Descent (Statistical Intuition),Statistical interpretation of SGD noise as implicit regularization
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.1 Bias-Variance Tradeoff,Bias: systematic error from model assumptions
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.1 Bias-Variance Tradeoff,Variance: sensitivity to training data fluctuations
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.1 Bias-Variance Tradeoff,Decomposition: Expected Error = Bias² + Variance + Irreducible Error
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.1 Bias-Variance Tradeoff,Underfitting (high bias) vs. Overfitting (high variance)
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.1 Bias-Variance Tradeoff,Model complexity curves and sweet spot identification
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.2 Regularization Techniques,"L1 Regularization (Lasso): sparsity, Laplacian prior interpretation"
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.2 Regularization Techniques,"L2 Regularization (Ridge): weight shrinkage, Gaussian prior interpretation"
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.2 Regularization Techniques,ElasticNet: combining L1 and L2
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.2 Regularization Techniques,Dropout as approximate Bayesian inference
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.2 Regularization Techniques,Statistical justification for early stopping
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.3 Feature Scaling & Statistical Assumptions,Standardization (Z-score): when and why
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.3 Feature Scaling & Statistical Assumptions,Min-Max normalization: bounded features
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.3 Feature Scaling & Statistical Assumptions,Robust scaling for outlier-heavy data
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.3 Feature Scaling & Statistical Assumptions,Normality assumptions in linear models
STATISTICS FOR AI & MACHINE LEARNING,Unit 9: Statistics in Machine Learning Models,9.3 Feature Scaling & Statistical Assumptions,Independence assumptions and autocorrelation detection
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,"Confusion Matrix: TP, FP, TN, FN"
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,"Accuracy, Precision, Recall, F1-Score"
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,"Sensitivity, Specificity, and their tradeoffs"
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,ROC Curve and AUC: threshold-independent evaluation
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,Precision-Recall Curve: imbalanced dataset evaluation
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.1 Classification Metrics,Log Loss (cross-entropy) for probabilistic predictions
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.2 Regression Metrics,Mean Squared Error (MSE) and Root MSE (RMSE)
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.2 Regression Metrics,Mean Absolute Error (MAE)
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.2 Regression Metrics,Mean Absolute Percentage Error (MAPE)
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.2 Regression Metrics,R-squared and Adjusted R-squared
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.2 Regression Metrics,Residual standard error and prediction intervals
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),K-Fold cross-validation: bias-variance tradeoff in validation
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),Stratified K-Fold for imbalanced data
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),Leave-One-Out Cross-Validation (LOOCV)
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),Time series cross-validation (walk-forward)
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),Nested cross-validation for unbiased hyperparameter selection
STATISTICS FOR AI & MACHINE LEARNING,Unit 10: Model Evaluation & Validation,10.3 Cross-Validation (Statistical Justification),"Statistical tests for model comparison: paired t-test, McNemar’s test"
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,"Components: trend, seasonal, cyclic, irregular (random)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,"Stationarity: definition, ADF test, KPSS test"
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,Differencing for stationarity
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,"Moving Averages: simple, weighted, exponential"
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,"Exponential Smoothing: single, double, triple (Holt-Winters)"
STATISTICS FOR AI & MACHINE LEARNING,Unit 11: Time Series Analysis & Forecasting,11.1 Time Series Components & Methods,Autocorrelation Function (ACF) and Partial ACF (PACF)
STATISTICS FOR AI & MACHINE LEARNING,Unit 12: Multivariate Statistics & Dimensionality Reduction,12.1 Multivariate Analysis,Multivariate statistics and high-dimensional data
STATISTICS FOR AI & MACHINE LEARNING,Unit 12: Multivariate Statistics & Dimensionality Reduction,12.1 Multivariate Analysis,Covariance matrix: computation and interpretation
STATISTICS FOR AI & MACHINE LEARNING,Unit 12: Multivariate Statistics & Dimensionality Reduction,12.1 Multivariate Analysis,Multivariate Normal Distribution
